filename,lap_var,fft_hf_ratio,noise_est,local_var
000452.npy,0.00174789,0.999983,0.00403422,0.04948223
000453.npy,0.02037946,0.999916,0.02244868,0.08225032
000454.npy,0.02067781,0.999914,0.02275796,0.08341545
000455.npy,0.02025133,0.999918,0.02244892,0.08098433
000457.npy,0.03741546,0.999199,0.01396116,0.09012033
000460.npy,0.00709396,0.999972,0.00687541,0.11526590
000461.npy,0.00015510,0.999996,0.00260632,0.03551243
000463.npy,0.00017850,0.999996,0.00278551,0.04010375
000464.npy,0.02440325,0.999446,0.01922154,0.08315152
000465.npy,0.04402659,0.998473,0.04831356,0.04344594
000466.npy,0.04795821,0.998291,0.04998108,0.04535445
000467.npy,0.04963029,0.998235,0.05086084,0.04616288
000468.npy,0.07628748,0.999813,0.00904837,0.11485408
000469.npy,0.05558358,0.998032,0.02311782,0.09544528
000470.npy,0.05524800,0.997864,0.02376306,0.09277394
000471.npy,0.05558101,0.998071,0.02334073,0.09672846
000472.npy,0.01223424,0.999985,0.00422485,0.13245165
000473.npy,0.00173687,0.999995,0.00313325,0.05147945
000474.npy,0.00175726,0.999996,0.00333509,0.04471309
000475.npy,0.00214920,0.999996,0.00339087,0.04670880
000476.npy,0.01350692,0.999391,0.00392566,0.06398068
000477.npy,0.04375015,0.998658,0.04341042,0.05737688
000479.npy,0.04465046,0.998586,0.04433621,0.05814214
000480.npy,0.03272445,0.998868,0.02735523,0.11365873
000481.npy,0.00386974,0.999939,0.01086406,0.06228003
000483.npy,0.00388516,0.999938,0.01097941,0.06261812
000484.npy,0.01620652,0.999929,0.01590316,0.10070159
000486.npy,0.00210192,0.999960,0.01015260,0.02291517
000487.npy,0.00213019,0.999960,0.01003753,0.02305280
000489.npy,0.01446168,0.999783,0.01186805,0.11003462
000492.npy,0.03882343,0.999311,0.01093838,0.10243563
000493.npy,0.04347972,0.997759,0.04547410,0.04991274
000495.npy,0.06683985,0.997899,0.05609686,0.06199144
000497.npy,0.04159889,0.998785,0.01856526,0.10460955
000498.npy,0.04606110,0.998950,0.01882525,0.11395848
000500.npy,0.01217586,0.999950,0.01309946,0.07436935
000501.npy,0.00822974,0.999951,0.01114289,0.08131725
000502.npy,0.00868672,0.999949,0.01182939,0.08234797
000504.npy,0.02073304,0.999748,0.00465065,0.10232732
000505.npy,0.03691678,0.999615,0.00786182,0.15884081
000506.npy,0.04089185,0.999588,0.00822386,0.16602221
000507.npy,0.04026321,0.999596,0.00802934,0.16534206
000508.npy,0.00324277,0.999986,0.00283452,0.01998050
000509.npy,0.05212861,0.997433,0.02835354,0.09550357
000510.npy,0.03701058,0.997586,0.02399513,0.08118035
000511.npy,0.03683002,0.997673,0.02346592,0.08122806
000512.npy,0.01391343,0.999885,0.00321292,0.03248570
000513.npy,0.14798940,0.999771,0.02051682,0.18973455
000514.npy,0.13651278,0.999784,0.02184752,0.17879334
000516.npy,0.01779770,0.999896,0.01649577,0.05740474
000517.npy,0.02959503,0.999782,0.01984511,0.09898888
000518.npy,0.02605877,0.999824,0.01934112,0.08868696
000519.npy,0.02838291,0.999801,0.02018716,0.09226087
000520.npy,0.03460430,0.999793,0.01670007,0.11037406
000521.npy,0.00427619,0.999912,0.01238046,0.03665325
000522.npy,0.00440594,0.999908,0.01247033,0.03900474
000523.npy,0.00443485,0.999910,0.01259087,0.03996044
000524.npy,0.08134692,0.999258,0.01849224,0.16454439
000529.npy,0.03914583,0.999728,0.00598075,0.08047136
000530.npy,0.03924682,0.999712,0.00647525,0.08596585
000531.npy,0.05113489,0.999682,0.00826462,0.09413663
000532.npy,0.02730253,0.999721,0.00598610,0.07239983
000536.npy,0.00076069,0.999961,0.00550696,0.06407309
000537.npy,0.00098759,0.999960,0.00645784,0.06521045
000538.npy,0.00097517,0.999962,0.00655463,0.06420340
000539.npy,0.00099230,0.999960,0.00650712,0.06549001
000540.npy,0.00525105,0.999967,0.00780254,0.05878127
000541.npy,0.00340151,0.999864,0.01140499,0.02620919
000542.npy,0.00364606,0.999829,0.01191106,0.02563017
000543.npy,0.00338974,0.999864,0.01133237,0.02616439
000544.npy,0.00523173,0.999965,0.00270299,0.01354361
000546.npy,0.01595010,0.999798,0.00504326,0.07032233
000547.npy,0.01935365,0.999638,0.00955326,0.10459250
000548.npy,0.00134950,0.999989,0.00390140,0.02369642
000549.npy,0.00444766,0.999778,0.00202575,0.03951901
000550.npy,0.00267445,0.999745,0.00200146,0.02681231
000551.npy,0.00444216,0.999769,0.00207873,0.03625478
000552.npy,0.04040495,0.999829,0.00559109,0.06613731
000553.npy,0.00228261,0.999979,0.00527177,0.05443509
000554.npy,0.00202838,0.999980,0.00536776,0.05999168
000556.npy,0.00024462,0.999981,0.00237599,0.02978501
000557.npy,0.00037370,0.999997,0.00340865,0.01009963
000558.npy,0.00058859,0.999998,0.00291933,0.02262918
000560.npy,0.02853133,0.999412,0.01198360,0.10339846
000561.npy,0.04925339,0.999434,0.02252479,0.10692823
000563.npy,0.05072855,0.999344,0.02439510,0.10379507
000566.npy,0.03238303,0.999827,0.02657259,0.09486378
000567.npy,0.02947454,0.999849,0.02563481,0.08874059
000568.npy,0.04324542,0.999670,0.01897847,0.12090952
000569.npy,0.02274301,0.999807,0.01370832,0.10830720
000571.npy,0.02297309,0.999801,0.01361187,0.10705423
000572.npy,0.03237287,0.999187,0.02085719,0.08885813
000573.npy,0.00409930,0.999993,0.00349162,0.01264807
000574.npy,0.00074552,0.999997,0.00332341,0.00627703
000575.npy,0.00100192,0.999998,0.00336949,0.00709653
000578.npy,0.03013219,0.999979,0.00578758,0.13512090
000579.npy,0.02535496,0.999981,0.00582701,0.11896539
000580.npy,0.00635660,0.999871,0.01705552,0.03812778
000581.npy,0.00263192,0.999984,0.00520104,0.12490662
000582.npy,0.00236607,0.999986,0.00478760,0.12103989
000583.npy,0.00170698,0.999989,0.00465313,0.11729348
000585.npy,0.03029631,0.998725,0.03433626,0.05228716
000586.npy,0.02701011,0.998747,0.03227308,0.04922219
000587.npy,0.02653233,0.998817,0.03215338,0.04902615
000588.npy,0.00252438,0.999948,0.00641568,0.06145068
000589.npy,0.00591009,0.999887,0.01579403,0.03247678
000590.npy,0.00631957,0.999859,0.01646432,0.03225821
000591.npy,0.00610672,0.999869,0.01608439,0.03162145
000592.npy,0.00031194,0.999998,0.00203169,0.06633246
000593.npy,0.02659646,0.999840,0.00662825,0.11201526
000594.npy,0.01198392,0.999954,0.00397659,0.10005198
